Vaccination Centers,Testing,Oxygen Cylinders,Beds,Medicines ,Instagram Pages
https://www.cowin.gov.in/home (Govt vaccination centers),https://www.diagnosticcentres.in/home/search/ ,"https://covid19-twitter.in/
This site provides live twitter updates for all available sources of oxygen, hospital beds and medicines. It displays these live sources for all major towns in India and is updated frequently through reliable tweets","https://covid19-twitter.in/
This site provides live twitter updates for all available sources of oxygen, hospital beds and medicines. It displays these live sources for all major towns in India and is updated frequently through reliable tweets.  ","https://covid19-twitter.in/
This site provides live twitter updates for all available sources of oxygen, hospital beds and medicines. It displays these live sources for all major towns in India and is updated frequently through reliable tweets.",This is a list of instagram volunteer pages where verified and updated leads are posted regularly. The people running these pages post leads only on personal verification. Check the stories and recent posts of these pages to find any leads. 
http://health.delhigovt.nic.in/wps/wcm/connect/67ac628041c0e9b4a75ab728c2355f02/136PCVC.pdf?MOD=AJPERES&lmod=-401092455&CACHEID=67ac628041c0e9b4a75ab728c2355f02 (pvt vaccination centers),,"https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlview
This is a google doc which displays the helplines and sellers of common covid medicine. It displays the helpline of hospitals and other facilities all over the country.","https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlview
This is a google doc which displays the helplines and sellers of common covid medicine. It displays the helpline of hospitals and other facilities all over the country.","https://docs.google.com/spreadsheets/d/1skf6C84LO9G64bJuN30eUY-jFYNz4bEJIEJoQ2ac_t8/htmlview
This is a google doc which displays the helplines and sellers of common covid medicine. It displays the helpline of hospitals and other facilities all over the country.",https://instagram.com/teens4teens.in?igshid=899oelguq1tp
,,"http://corona.delhi.gov.in/
Government site that regularly updates the number of hospital beds, in each hospital(ICU, with ventilator, without ventilator) available in all hospitals across Delhi. ","http://corona.delhi.gov.in/
Government site that regularly updates the number of hospital beds, in each hospital(ICU, with ventilator, without ventilator) available in all hospitals across Delhi. ","http://corona.delhi.gov.in/
Government site that regularly updates the number of hospital beds, in each hospital(ICU, with ventilator, without ventilator) available in all hospitals across Delhi. ",
,,"https://covidresource.glideapp.io/
This is an app, made by IIT Delhi Alumni, which provides live tracking of vacant hospital beds across cities. There is also additional info like mega-links having info on Oxygen availabilty, plasma, vidoes by renowned doctors, etc.","https://covidresource.glideapp.io/
This is an app, made by IIT Delhi Alumni, which provides live tracking of vacant hospital beds across cities. There is also additional info like mega-links having info on Oxygen availabilty, plasma, vidoes by renowned doctors, etc.","https://covidresource.glideapp.io/
This is an app, made by IIT Delhi Alumni, which provides live tracking of vacant hospital beds across cities. There is also additional info like mega-links having info on Oxygen availabilty, plasma, vidoes by renowned doctors, etc.",https://instagram.com/covidaidresources?igshid=1jyb2r0k34jtx
,,"https://coronaresources.in/
 A website that displays the places to get and donate plasma all over the country and also gives a list of reliable and frequently updated sources of beds all over the country. ","https://coronaresources.in/
 A website that displays the places to get and donate plasma all over the country and also gives a list of reliable and frequently updated sources of beds all over the country. ","https://coronaresources.in/
 A website that displays the places to get and donate plasma all over the country and also gives a list of reliable and frequently updated sources of beds all over the country. ",https://instagram.com/cov.id911?igshid=14xp6b0yog8ip
,,"https://www.theuncutteam.com/covidresources
 A site from an instagram page that gives updates on medicine, oxygen, beds and numbers of helplines and doctors all over the country. A specific pdf is made for each region around the country allowing you to find what you need quickly.","https://www.theuncutteam.com/covidresources
 A site from an instagram page that gives updates on medicine, oxygen, beds and numbers of helplines and doctors all over the country. A specific pdf is made for each region around the country allowing you to find what you need quickly.","https://www.theuncutteam.com/covidresources
 A site from an instagram page that gives updates on medicine, oxygen, beds and numbers of helplines and doctors all over the country. A specific pdf is made for each region around the country allowing you to find what you need quickly.",https://instagram.com/covid19help2021?igshid=1fkj1rsw3s035
,,"covidfacts.in
This is a website made by the IndiaFightsCorona team, all you need to do is enter your location and required resource, and the website will provide a list of updated verified leads for the same.","covidfacts.in
This is a website made by the IndiaFightsCorona team, all you need to do is enter your location and required resource, and the website will provide a list of updated verified leads for the same.","covidfacts.in
This is a website made by the IndiaFightsCorona team, all you need to do is enter your location and required resource, and the website will provide a list of updated verified leads for the same.",
,,"covidfightclub.org
This is the official website of the Covid Fight Club, which cowdsources resources to fight Covid across India. Enter your required resource and location and the website will provide a list of verified leads for the same.","covidfightclub.org
This is the official website of the Covid Fight Club, which cowdsources resources to fight Covid across India. Enter your required resource and location and the website will provide a list of verified leads for the same.","covidfightclub.org
This is the official website of the Covid Fight Club, which cowdsources resources to fight Covid across India. Enter your required resource and location and the website will provide a list of verified leads for the same.",
,,"https://docs.google.com/spreadsheets/d/1K5uAC90MgrDPtaBVfPnmT_llqjrjG-NR6l6RsdsG97A/htmlview

A google doc which gives regular updates on the availability on beds, oxygen and medicine all over the country. There are specific links for each region allowing quick access to what you need.
","https://docs.google.com/spreadsheets/d/1K5uAC90MgrDPtaBVfPnmT_llqjrjG-NR6l6RsdsG97A/htmlview

A google doc which gives regular updates on the availability on beds, oxygen and medicine all over the country. There are specific links for each region allowing quick access to what you need.
","https://docs.google.com/spreadsheets/d/1K5uAC90MgrDPtaBVfPnmT_llqjrjG-NR6l6RsdsG97A/htmlview

A google doc which gives regular updates on the availability on beds, oxygen and medicine all over the country. There are specific links for each region allowing quick access to what you need.
",
,,"https://docs.google.com/spreadsheets/d/18UlLgM3_bJb6UPIYddPvs9uqI_nU7TzPNwVFAQfRSuM/htmlview

A google doc which gives regular updates on the availability on beds, oxygen and medicine all over the country. The resources are sorted according to state for easy searching.","https://docs.google.com/spreadsheets/d/18UlLgM3_bJb6UPIYddPvs9uqI_nU7TzPNwVFAQfRSuM/htmlview

A google doc which gives regular updates on the availability on beds, oxygen and medicine all over the country. The resources are sorted according to state for easy searching.","https://docs.google.com/spreadsheets/d/18UlLgM3_bJb6UPIYddPvs9uqI_nU7TzPNwVFAQfRSuM/htmlview

A google doc which gives regular updates on the availability on beds, oxygen and medicine all over the country. The resources are sorted according to state for easy searching.",
